,actor id,actor name,character,gender,movie id,title
952,69597,Drew Barrymore,Josie Geller,Female,11355,Never Been Kissed
953,13526,Noah Wyle,Steve Jobs,Male,3293,Pirates of Silicon Valley
954,52474,Jason London,Todd Boomer,Male,39001,My Teacher's Wife
955,80457,Han Suk-kyu,Yu Jong-won,Male,10355,Shiri
956,8891,John Travolta,Paul Brenner,Male,2275,The General's Daughter
957,940339,Lau Ching-Wan,Insp. Ho Sheung Sang,Male,2463,Running Out of Time
958,5292,Denzel Washington,Lincoln Rhyme,Male,9481,The Bone Collector
959,1231,Julianne Moore,Linda Partridge,Female,334,Magnolia
961,78029,Martin Lawrence,Miles Logan,Male,11001,Blue Streak
962,2157,Robin Williams,Andrew Martin,Male,2277,Bicentennial Man
963,3896,Liam Neeson,Dr. David Marrow,Male,11618,The Haunting
964,85,Johnny Depp,Commander Spencer Armacost,Male,2900,The Astronaut's Wife
965,68470,Minami Takayama,Conan Edogawa (voice),Female,28808,Detective Conan: The Last Wizard of the Century
966,1204,Julia Roberts,Anna Scott,Female,509,Notting Hill
967,3391,Kathleen Turner,Elena Kinder,Female,22345,Baby Geniuses
968,955,Penélope Cruz,Rosa,Female,99,All About My Mother
969,67773,Steve Martin,Bobby Bowfinger,Male,11353,Bowfinger
