,genre,movie id,title
964,Comedy,531,The Wrong Trousers
965,Family,531,The Wrong Trousers
966,Comedy,11566,Dave
967,Drama,2149,Body of Evidence
968,Thriller,2149,Body of Evidence
969,Romance,2149,Body of Evidence
970,Romance,2259,The House of the Spirits
971,Drama,2259,The House of the Spirits
972,Drama,9800,Philadelphia
973,Adventure,9607,Super Mario Bros.
974,Comedy,9607,Super Mario Bros.
975,Family,9607,Super Mario Bros.
976,Fantasy,9607,Super Mario Bros.
977,Drama,10655,Gettysburg
978,History,10655,Gettysburg
979,War,10655,Gettysburg
980,Horror,10285,Jason Goes to Hell: The Final Friday
981,Action,6,Judgment Night
982,Thriller,6,Judgment Night
983,Crime,6,Judgment Night
984,Crime,10498,Point of No Return
985,Drama,10498,Point of No Return
986,Thriller,10498,Point of No Return
987,Animation,17189,Battle Angel
988,Action,17189,Battle Angel
989,Crime,17189,Battle Angel
990,Adventure,26672,The Thief and the Cobbler
991,Fantasy,26672,The Thief and the Cobbler
992,Animation,26672,The Thief and the Cobbler
993,Science Fiction,26672,The Thief and the Cobbler
994,Family,26672,The Thief and the Cobbler
995,Crime,37094,Falling Down
996,Drama,37094,Falling Down
997,Thriller,37094,Falling Down
998,Action,11143,Tai-Chi Master
999,Comedy,11143,Tai-Chi Master
1000,Drama,11143,Tai-Chi Master
1001,Thriller,11143,Tai-Chi Master
1002,Crime,6075,Carlito's Way
1003,Drama,6075,Carlito's Way
1004,Thriller,6075,Carlito's Way
1005,Drama,1689,Little Buddha
1006,History,1689,Little Buddha
1007,Comedy,11528,The Sandlot
1008,Family,11528,The Sandlot
